whiskey_name,brand,type,age,abv,region,cask_type,bottling_type,retail_price_usd,is_limited_edition,release_year,average_rating,award_wins,rating_category,category
Lagavulin 28 Tequila Cask,Lagavulin,Rye,28,59.0,USA,Tequila,Cask Strength,295.94,False,1994,98.7,3,Excellent,Luxury
Glenfiddich 29 Bourbon Cask,Glenfiddich,Scotch,29,59.2,Highlands,Bourbon,Single Cask,308.35,False,2000,102.3,6,Excellent,Luxury
Highland Park 12 Bourbon Cask,Highland Park,Irish,12,48.1,Cork,Bourbon,Single Malt,86.62,False,1993,90.9,2,High,Standard
Ardbeg 50 Tequila Cask,Ardbeg,Bourbon,50,70.0,Unknown,Tequila,Blended,452.75,False,2019,101.4,0,Excellent,Luxury
Macallan 21 Bourbon Cask,Macallan,Bourbon,21,44.0,Kentucky,Bourbon,Single Malt,432.36,False,1998,94.0,1,High,Luxury
Yamazaki 28 Rum Cask,Yamazaki,Bourbon,28,43.2,Kentucky,Rum,Blended,249.96,False,2015,91.9,0,High,Exclusive
Buffalo Trace 30 Bourbon Cask,Buffalo Trace,Scotch,30,40.9,Highlands,Bourbon,Cask Strength,145.9,False,2017,96.4,1,Excellent,Exclusive
Yamazaki 9 Bourbon Cask,Yamazaki,Rye,9,43.6,Canada,Bourbon,Single Malt,222.24,False,2020,91.5,3,High,Exclusive
Ardbeg NAS Sherry Cask,Ardbeg,Irish,0,42.2,Cork,Sherry,Cask Strength,300.28,False,2023,81.6,0,Low,Luxury
Ardbeg 27 Sherry Cask,Ardbeg,Rye,27,49.0,USA,Sherry,Cask Strength,415.0,False,2020,95.8,1,Excellent,Luxury
Jack Daniel's NAS Sherry Cask,Jack Daniel's,Bourbon,0,40.6,Tennessee,Sherry,Single Cask,85.76,False,2021,85.5,2,Medium,Standard
Highland Park 6 Bourbon Cask,Highland Park,Bourbon,6,42.8,Kentucky,Bourbon,Blended,320.88,False,2017,88.7,3,Medium,Luxury
Balvenie 22 Rum Cask,Balvenie,Rye,22,57.8,USA,Rum,Single Cask,345.95,True,2018,95.2,2,Excellent,Luxury
Jameson 5 Sherry Cask,Jameson,Scotch,5,53.8,Islay,Sherry,Blended,69.71,False,2008,89.3,2,Medium,Standard
Lagavulin 27 Wine Cask,Lagavulin,Japanese,27,52.1,Hokkaido,Wine,Single Cask,318.43,True,1999,93.7,0,High,Luxury
Jameson 19 Wine Cask,Jameson,Rye,19,50.0,USA,Wine,Blended,494.75,False,2018,92.1,2,High,Luxury
Balvenie 16 Sherry Cask,Balvenie,Japanese,16,52.2,Honshu,Sherry,Single Malt,446.81,True,2002,89.1,1,Medium,Luxury
Jameson 10 Tequila Cask,Jameson,Japanese,10,51.3,Hokkaido,Tequila,Cask Strength,43.97,False,2008,89.8,1,Medium,Basic
Lagavulin NAS Tequila Cask,Lagavulin,Rye,0,54.9,Canada,Tequila,Blended,277.02,False,2020,87.2,4,Medium,Exclusive
Jack Daniel's NAS Rum Cask,Jack Daniel's,Irish,0,45.6,Dublin,Rum,Single Malt,249.67,False,2024,90.2,5,High,Exclusive
Jack Daniel's NAS Wine Cask,Jack Daniel's,Rye,0,55.7,Canada,Wine,Single Malt,490.36,False,2005,87.4,1,Medium,Luxury
Glenfiddich 17 Tequila Cask,Glenfiddich,Japanese,17,53.3,Honshu,Tequila,Single Cask,263.6,False,2014,90.8,1,High,Exclusive
Lagavulin 20 Rum Cask,Lagavulin,Japanese,20,47.9,Hokkaido,Rum,Cask Strength,428.77,False,2023,92.4,2,High,Luxury
Jack Daniel's 28 Wine Cask,Jack Daniel's,Bourbon,28,40.2,Kentucky,Wine,Cask Strength,220.71,False,1992,97.7,3,Excellent,Exclusive
Yamazaki 7 Sherry Cask,Yamazaki,Irish,7,48.6,Cork,Sherry,Single Malt,206.47,False,1998,92.3,4,High,Exclusive
Jack Daniel's 21 Tequila Cask,Jack Daniel's,Scotch,21,46.5,Lowlands,Tequila,Cask Strength,403.5,False,2025,90.9,0,High,Luxury
Macallan 19 Rum Cask,Macallan,Japanese,19,44.6,Hokkaido,Rum,Cask Strength,159.41,False,2016,91.8,0,High,Exclusive
Balvenie NAS Sherry Cask,Balvenie,Scotch,0,57.7,Highlands,Sherry,Single Malt,26.16,True,1992,86.2,2,Medium,Basic
Macallan 26 Rum Cask,Macallan,Scotch,26,55.5,Highlands,Rum,Blended,575.49,False,2018,95.4,1,Excellent,Luxury
Lagavulin NAS Wine Cask,Lagavulin,Bourbon,0,48.4,Tennessee,Wine,Single Malt,314.62,False,1990,87.5,2,Medium,Luxury
Glenfiddich 18 Rum Cask,Glenfiddich,Irish,18,48.2,Cork,Rum,Single Malt,460.13,False,2022,91.9,0,High,Luxury
Highland Park 21 Sherry Cask,Highland Park,Irish,21,41.8,Cork,Sherry,Single Cask,30.39,False,2021,94.8,1,High,Basic
Ardbeg 11 Bourbon Cask,Ardbeg,Bourbon,11,53.3,Kentucky,Bourbon,Single Cask,238.15,False,2009,87.6,0,Medium,Exclusive
Jameson NAS Tequila Cask,Jameson,Bourbon,0,48.8,Unknown,Tequila,Single Malt,34.37,True,2000,84.7,1,Low,Basic
Jameson 25 Bourbon Cask,Jameson,Rye,25,58.6,Canada,Bourbon,Single Malt,372.3,False,2012,96.0,3,Excellent,Luxury
Macallan 6 Wine Cask,Macallan,Irish,6,46.8,Dublin,Wine,Cask Strength,378.05,False,1994,86.6,1,Medium,Luxury
Highland Park NAS Port Cask,Highland Park,Japanese,0,52.4,Hokkaido,Port,Single Cask,158.25,True,2004,88.1,3,Medium,Exclusive
Ardbeg 14 Wine Cask,Ardbeg,Bourbon,14,59.0,Kentucky,Wine,Single Cask,31.01,False,2009,88.8,1,Medium,Basic
Buffalo Trace 15 Port Cask,Buffalo Trace,Japanese,15,47.8,Honshu,Port,Cask Strength,69.83,False,2001,94.3,5,High,Standard
Highland Park 21 Port Cask,Highland Park,Scotch,21,50.9,Lowlands,Port,Single Cask,58.02,False,2015,95.5,3,Excellent,Standard
Lagavulin 21 Rum Cask,Lagavulin,Bourbon,21,54.0,Tennessee,Rum,Cask Strength,272.08,False,2000,96.3,4,Excellent,Exclusive
Highland Park 16 Wine Cask,Highland Park,Rye,16,58.0,USA,Wine,Single Cask,247.1,False,2022,93.8,3,High,Exclusive
Glenfiddich 10 Port Cask,Glenfiddich,Bourbon,10,42.6,Tennessee,Port,Single Cask,150.15,False,2013,91.9,3,High,Exclusive
Highland Park 21 Bourbon Cask,Highland Park,Scotch,21,59.8,Islay,Bourbon,Blended,183.16,False,2023,91.8,1,High,Exclusive
Buffalo Trace 8 Bourbon Cask,Buffalo Trace,Japanese,8,41.1,Hokkaido,Bourbon,Cask Strength,294.75,True,2008,85.6,1,Medium,Luxury
Jack Daniel's 21 Bourbon Cask,Jack Daniel's,Irish,21,41.0,Dublin,Bourbon,Single Malt,215.43,False,2015,91.9,2,High,Exclusive
Jameson 15 Tequila Cask,Jameson,Rye,15,44.3,Canada,Tequila,Single Cask,341.35,False,1994,90.3,3,High,Luxury
Ardbeg 5 Wine Cask,Ardbeg,Irish,5,42.6,Cork,Wine,Single Cask,537.34,True,1996,88.9,1,Medium,Luxury
Jameson 24 Bourbon Cask,Jameson,Irish,24,49.5,Cork,Bourbon,Single Malt,179.64,False,2015,94.4,2,High,Exclusive
Yamazaki 29 Bourbon Cask,Yamazaki,Japanese,29,56.2,Honshu,Bourbon,Cask Strength,366.11,False,2010,94.0,2,High,Luxury
Yamazaki 7 Bourbon Cask,Yamazaki,Japanese,7,44.7,Hokkaido,Bourbon,Blended,49.56,False,2012,90.7,2,High,Luxury
Balvenie 9 Sherry Cask,Balvenie,Bourbon,9,56.5,Kentucky,Sherry,Blended,202.77,False,2014,90.4,0,High,Exclusive
Balvenie 27 Bourbon Cask,Balvenie,Scotch,27,50.1,Highlands,Bourbon,Cask Strength,56.19,False,2005,94.4,0,High,Standard
Ardbeg NAS Port Cask,Ardbeg,Irish,0,45.3,Cork,Port,Cask Strength,182.07,False,2017,87.6,2,Medium,Exclusive
Jack Daniel's 24 Wine Cask,Jack Daniel's,Irish,24,42.3,Dublin,Wine,Blended,558.64,False,2019,93.9,0,High,Luxury
Buffalo Trace 19 Sherry Cask,Buffalo Trace,Scotch,19,55.2,Lowlands,Sherry,Cask Strength,104.11,True,2025,94.7,2,High,Premium
Ardbeg 19 Port Cask,Ardbeg,Rye,19,41.1,USA,Port,Single Cask,326.25,False,2004,89.5,0,Medium,Luxury
Highland Park 30 Sherry Cask,Highland Park,Japanese,30,46.4,Honshu,Sherry,Cask Strength,422.71,False,2006,98.5,2,Excellent,Luxury
Jameson 14 Bourbon Cask,Jameson,Irish,14,45.0,Dublin,Bourbon,Single Malt,486.91,False,1997,89.6,2,Medium,Luxury
Balvenie 22 Bourbon Cask,Balvenie,Rye,22,55.9,Canada,Bourbon,Blended,175.42,False,1994,97.0,3,Excellent,Exclusive
Jameson 18 Port Cask,Jameson,Bourbon,18,57.6,Tennessee,Port,Single Malt,98.24,True,2005,91.9,4,High,Premium
Macallan 9 Wine Cask,Macallan,Bourbon,9,54.8,Kentucky,Wine,Blended,161.16,False,2009,94.0,3,High,Exclusive
Highland Park 50 Tequila Cask,Highland Park,Rye,50,40.8,Unknown,Tequila,Cask Strength,319.09,False,2012,100.8,1,Excellent,Luxury
Jameson 26 Bourbon Cask,Jameson,Japanese,26,41.8,Hokkaido,Bourbon,Single Malt,308.95,True,1995,96.0,1,Excellent,Luxury
Yamazaki 9 Sherry Cask,Yamazaki,Irish,9,47.2,Cork,Sherry,Cask Strength,56.74,False,2012,88.5,1,Medium,Standard
Macallan 9 Bourbon Cask,Macallan,Bourbon,9,43.3,Tennessee,Bourbon,Single Malt,466.67,False,2019,90.2,1,High,Luxury
Highland Park NAS Tequila Cask,Highland Park,Scotch,0,35.8,Unknown,Tequila,Cask Strength,83.47,False,2011,88.5,3,Medium,Standard
Highland Park 6 Sherry Cask,Highland Park,Scotch,6,50.0,Highlands,Sherry,Cask Strength,303.38,False,2000,86.7,0,Medium,Luxury
Jack Daniel's 8 Sherry Cask,Jack Daniel's,Scotch,8,43.5,Lowlands,Sherry,Blended,28.57,False,1994,89.5,1,Medium,Basic
Buffalo Trace 19 Port Cask,Buffalo Trace,Bourbon,19,55.6,Tennessee,Port,Cask Strength,272.29,False,2002,94.3,2,High,Exclusive
Ardbeg 13 Sherry Cask,Ardbeg,Bourbon,13,40.7,Tennessee,Sherry,Blended,38.27,False,2025,88.0,0,Medium,Basic
Balvenie 23 Tequila Cask,Balvenie,Bourbon,23,52.2,Tennessee,Tequila,Cask Strength,219.26,True,2012,92.7,1,High,Exclusive
Highland Park 30 Wine Cask,Highland Park,Irish,30,54.9,Dublin,Wine,Cask Strength,208.07,True,2021,95.2,0,Excellent,Exclusive
Jack Daniel's NAS Wine Cask,Jack Daniel's,Japanese,0,44.8,Hokkaido,Wine,Blended,416.08,False,2025,85.0,0,Medium,Luxury
Highland Park 30 Sherry Cask,Highland Park,Bourbon,30,48.5,Kentucky,Sherry,Blended,407.75,False,2009,96.8,1,Excellent,Luxury
Jack Daniel's 22 Wine Cask,Jack Daniel's,Rye,22,48.3,USA,Wine,Cask Strength,275.04,False,2007,93.9,1,High,Exclusive
Highland Park 19 Port Cask,Highland Park,Japanese,19,45.6,Honshu,Port,Cask Strength,182.7,False,2012,93.1,0,High,Exclusive
Highland Park NAS Sherry Cask,Highland Park,Bourbon,0,48.4,Kentucky,Sherry,Cask Strength,243.87,False,1998,87.9,2,Medium,Exclusive
Jameson 16 Tequila Cask,Jameson,Scotch,16,58.4,Lowlands,Tequila,Blended,363.26,False,1997,91.4,0,High,Luxury
Buffalo Trace 30 Sherry Cask,Buffalo Trace,Scotch,30,48.2,Lowlands,Sherry,Single Malt,406.6,True,2025,98.7,3,Excellent,Luxury
Yamazaki 13 Wine Cask,Yamazaki,Scotch,13,41.0,Speyside,Wine,Blended,256.59,True,2017,90.0,0,High,Exclusive
Lagavulin 9 Sherry Cask,Lagavulin,Bourbon,9,53.7,Tennessee,Sherry,Blended,341.95,False,2003,90.7,1,High,Luxury
Ardbeg 5 Rum Cask,Ardbeg,Rye,5,49.2,USA,Rum,Cask Strength,499.46,False,2010,87.7,1,Medium,Luxury
Highland Park 27 Tequila Cask,Highland Park,Japanese,27,50.3,Honshu,Tequila,Blended,385.51,False,2023,96.1,3,Excellent,Luxury
Jameson 12 Bourbon Cask,Jameson,Bourbon,12,49.6,Kentucky,Bourbon,Cask Strength,406.03,False,2017,91.1,0,High,Luxury
Ardbeg NAS Tequila Cask,Ardbeg,Rye,0,52.6,Canada,Tequila,Blended,385.04,False,2000,88.6,2,Medium,Luxury
Glenfiddich 4 Sherry Cask,Glenfiddich,Japanese,4,53.1,Hokkaido,Sherry,Blended,327.72,False,2023,90.1,2,High,Luxury
